,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYISO.WEST_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064DEU,NODX,1,64,21256,12820,7451,6315,1600,160,0,10150,400,0,35,75,19770,19871,1486,1385,21256,12820,7451,6315,1600,160,0,10150,400,0,35,75,19770,19871,1486,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,455,320,-60,75,-40,0,0,0,0,0,0,355,355,-200,-200,100,60.3,35.1,29.7,7.5,0.8,0,47.8,1.9,0,0.2,0.4,93,93.5,7,6.5,100,60.3,35.1,29.7,7.5,0.8,0,47.8,1.9,0,0.2,0.4,93,93.5,7,6.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,13,.,.,.,0,.,.,0,.,.,15,20,22,9,13,.,.,.,0,.,.,0,.,.,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.7,66.3,86,81.3,55.5,63.1,69.4,68.9,64.7,66.3,86,81.3,55.5,63.1,69.4,68.9,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064DEU,NODX,64,N16,FutOnly
PJM.AEP-DAYTON HUB_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064DLW,NODX,1,64,99750,25807,42081,39721,39305,3625,16840,1250,0,467,0,620,87080,86881,12670,12869,99750,25807,42081,39721,39305,3625,16840,1250,0,467,0,620,87080,86881,12670,12869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,445,840,-155,0,0,600,50,0,0,0,0,890,890,10,10,100,25.9,42.2,39.8,39.4,3.6,16.9,1.3,0,0.5,0,0.6,87.3,87.1,12.7,12.9,100,25.9,42.2,39.8,39.4,3.6,16.9,1.3,0,0.5,0,0.6,87.3,87.1,12.7,12.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,14,.,.,.,.,.,0,.,0,.,23,23,27,16,14,.,.,.,.,.,0,.,0,.,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1,58.9,77.9,75.4,60,58.8,70.3,70.3,65.1,58.9,77.9,75.4,60,58.8,70.3,70.3,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064DLW,NODX,64,N16,FutOnly
PJM.AEP-DAYTON HUB_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064DLX,NODX,1,64,97318,25152,41691,32112,36075,3730,17190,1250,0,4918,250,396,83498,83392,13820,13926,97318,25152,41691,32112,36075,3730,17190,1250,0,4918,250,396,83498,83392,13820,13926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,295,690,-155,0,50,600,50,0,0,0,0,790,790,110,110,100,25.8,42.8,33,37.1,3.8,17.7,1.3,0,5.1,0.3,0.4,85.8,85.7,14.2,14.3,100,25.8,42.8,33,37.1,3.8,17.7,1.3,0,5.1,0.3,0.4,85.8,85.7,14.2,14.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,13,4,.,.,.,.,0,.,.,.,22,22,28,14,13,4,.,.,.,.,0,.,.,.,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,57.2,74.7,74.4,54.7,57.2,67.2,69.3,58.8,57.2,74.7,74.4,54.7,57.2,67.2,69.3,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064DLX,NODX,64,N16,FutOnly
PJM.BGE_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064DPQ,NODX,1,64,28141,20982,7221,105,906,2190,0,11360,100,970,2795,0,24347,24572,3794,3569,28141,20982,7221,105,906,2190,0,11360,100,970,2795,0,24347,24572,3794,3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74.6,25.7,0.4,3.2,7.8,0,40.4,0.4,3.4,9.9,0,86.5,87.3,13.5,12.7,100,74.6,25.7,0.4,3.2,7.8,0,40.4,0.4,3.4,9.9,0,86.5,87.3,13.5,12.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,7,.,.,.,0,4,.,.,.,0,20,15,26,16,7,.,.,.,0,4,.,.,.,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,56.5,65,76,43.3,50.5,56.8,60.3,45.8,56.5,65,76,43.3,50.5,56.8,60.3,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064DPQ,NODX,64,N16,FutOnly
PJM.BGE_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064DPR,NODX,1,64,27841,20832,7261,155,966,2115,0,11310,100,970,2645,0,24172,24397,3669,3444,27841,20832,7261,155,966,2115,0,11310,100,970,2645,0,24172,24397,3669,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74.8,26.1,0.6,3.5,7.6,0,40.6,0.4,3.5,9.5,0,86.8,87.6,13.2,12.4,100,74.8,26.1,0.6,3.5,7.6,0,40.6,0.4,3.5,9.5,0,86.8,87.6,13.2,12.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,7,.,.,.,0,4,.,.,.,0,20,15,26,16,7,.,.,.,0,4,.,.,.,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2,56.7,65,76.5,43.7,51.1,57.4,61.1,46.2,56.7,65,76.5,43.7,51.1,57.4,61.1,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064DPR,NODX,64,N16,FutOnly
PJM.N ILLINOIS HUB_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064ERM,NODX,1,64,52337,15883,41078,19370,8690,60,9780,0,0,4665,0,0,49758,49828,2579,2509,52337,15883,41078,19370,8690,60,9780,0,0,4665,0,0,49758,49828,2579,2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-20,-20,-250,0,0,250,0,0,0,0,0,-20,-20,45,45,100,30.3,78.5,37,16.6,0.1,18.7,0,0,8.9,0,0,95.1,95.2,4.9,4.8,100,30.3,78.5,37,16.6,0.1,18.7,0,0,8.9,0,0,95.1,95.2,4.9,4.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,11,.,4,.,.,0,0,.,0,0,16,16,24,10,11,.,4,.,.,0,0,.,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,84.3,92.2,91.1,70.5,83.9,90.4,89.9,71.7,84.3,92.2,91.1,70.5,83.9,90.4,89.9,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064ERM,NODX,64,N16,FutOnly
PJM.N ILLINOIS HUB_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064ERN,NODX,1,64,56351,16672,41991,23669,7395,80,9430,0,0,4355,4800,0,54206,54266,2145,2085,56351,16672,41991,23669,7395,80,9430,0,0,4355,4800,0,54206,54266,2145,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-250,0,0,250,0,0,0,0,0,0,0,0,0,100,29.6,74.5,42,13.1,0.1,16.7,0,0,7.7,8.5,0,96.2,96.3,3.8,3.7,100,29.6,74.5,42,13.1,0.1,16.7,0,0,7.7,8.5,0,96.2,96.3,3.8,3.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,11,.,.,.,.,0,0,.,.,0,15,15,22,10,11,.,.,.,.,0,0,.,.,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.7,83,93.4,92.9,72.6,82.6,91.8,91.9,73.7,83,93.4,92.9,72.6,82.6,91.8,91.9,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064ERN,NODX,64,N16,FutOnly
PJM.PECO_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064EUY,NODX,1,64,55225,21220,47955,17430,1070,1995,2395,875,120,9070,1200,35,52265,53250,2960,1975,55225,21220,47955,17430,1070,1995,2395,875,120,9070,1200,35,52265,53250,2960,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,1170,-55,175,0,0,100,300,-30,0,1200,0,1415,1415,30,30,100,38.4,86.8,31.6,1.9,3.6,4.3,1.6,0.2,16.4,2.2,0.1,94.6,96.4,5.4,3.6,100,38.4,86.8,31.6,1.9,3.6,4.3,1.6,0.2,16.4,2.2,0.1,94.6,96.4,5.4,3.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,10,.,.,.,.,.,.,.,.,.,21,18,27,13,10,.,.,.,.,.,.,.,.,.,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,83.3,74.4,91.2,55.1,81.6,71.2,87.5,57.5,83.3,74.4,91.2,55.1,81.6,71.2,87.5,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064EUY,NODX,64,N16,FutOnly
PJM.PECO_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064EUZ,NODX,1,64,50350,19065,42830,17785,1250,1980,2070,875,210,6340,1200,385,47835,48730,2515,1620,50350,19065,42830,17785,1250,1980,2070,875,210,6340,1200,385,47835,48730,2515,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,1145,-55,300,0,0,0,300,0,0,1200,0,1445,1445,0,0,100,37.9,85.1,35.3,2.5,3.9,4.1,1.7,0.4,12.6,2.4,0.8,95,96.8,5,3.2,100,37.9,85.1,35.3,2.5,3.9,4.1,1.7,0.4,12.6,2.4,0.8,95,96.8,5,3.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,9,.,.,.,.,.,.,.,.,.,21,17,26,13,9,.,.,.,.,.,.,.,.,.,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3,81.1,76,90.2,55,78.8,71.7,86.3,58.3,81.1,76,90.2,55,78.8,71.7,86.3,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064EUZ,NODX,64,N16,FutOnly
PJM.PPL_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064EWU,NODX,1,64,84545,33150,71020,18395,4590,2975,20840,275,940,3280,210,1275,80855,81285,3690,3260,84545,33150,71020,18395,4590,2975,20840,275,940,3280,210,1275,80855,81285,3690,3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,765,0,-465,300,0,0,0,0,0,0,0,300,300,60,60,100,39.2,84,21.8,5.4,3.5,24.6,0.3,1.1,3.9,0.2,1.5,95.6,96.1,4.4,3.9,100,39.2,84,21.8,5.4,3.5,24.6,0.3,1.1,3.9,0.2,1.5,95.6,96.1,4.4,3.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,11,.,.,.,.,.,.,.,.,.,23,20,32,14,11,.,.,.,.,.,.,.,.,.,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,76.5,82.9,88.7,57.7,76.2,77.3,85,61.9,76.5,82.9,88.7,57.7,76.2,77.3,85,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064EWU,NODX,64,N16,FutOnly
PJM.PPL_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064EWV,NODX,1,64,81655,32680,68285,18090,4590,3140,20540,550,940,2095,210,1275,78760,78990,2895,2665,81655,32680,68285,18090,4590,3140,20540,550,940,2095,210,1275,78760,78990,2895,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,765,0,-465,300,60,0,0,0,0,0,0,360,360,0,0,100,40,83.6,22.2,5.6,3.8,25.2,0.7,1.2,2.6,0.3,1.6,96.5,96.7,3.5,3.3,100,40,83.6,22.2,5.6,3.8,25.2,0.7,1.2,2.6,0.3,1.6,96.5,96.7,3.5,3.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,10,.,.,4,.,.,.,.,.,.,23,20,31,14,10,.,.,4,.,.,.,.,.,.,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,75.8,83.7,88.9,59.3,75.6,76.9,84.6,63.9,75.8,83.7,88.9,59.3,75.6,76.9,84.6,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064EWV,NODX,64,N16,FutOnly
PJM.PSEG_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064EXE,NODX,1,64,60685,35438,26385,2292,22389,20,13155,995,1710,1380,2615,825,54820,54939,5865,5746,60685,35438,26385,2292,22389,20,13155,995,1710,1380,2615,825,54820,54939,5865,5746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,600,325,50,275,0,-50,-20,0,0,0,0,600,580,-307,-287,100,58.4,43.5,3.8,36.9,0,21.7,1.6,2.8,2.3,4.3,1.4,90.3,90.5,9.7,9.5,100,58.4,43.5,3.8,36.9,0,21.7,1.6,2.8,2.3,4.3,1.4,90.3,90.5,9.7,9.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,9,.,.,.,.,.,.,.,.,.,26,14,28,18,9,.,.,.,.,.,.,.,.,.,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1,75.9,69.1,87.8,53.6,67.2,64.5,75.9,54.1,75.9,69.1,87.8,53.6,67.2,64.5,75.9,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064EXE,NODX,64,N16,FutOnly
PJM.PSEG_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064EXF,NODX,1,64,52353,31053,25925,2132,16397,20,9525,995,1710,1025,750,1055,46520,46852,5833,5501,52353,31053,25925,2132,16397,20,9525,995,1710,1025,750,1055,46520,46852,5833,5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177,450,-200,-50,500,0,-100,-20,0,0,0,0,300,280,-477,-457,100,59.3,49.5,4.1,31.3,0,18.2,1.9,3.3,2,1.4,2,88.9,89.5,11.1,10.5,100,59.3,49.5,4.1,31.3,0,18.2,1.9,3.3,2,1.4,2,88.9,89.5,11.1,10.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,8,.,.,.,.,.,.,.,.,.,24,13,28,16,8,.,.,.,.,.,.,.,.,.,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1,73.4,69.2,86.2,51.5,64.8,63.4,72.2,55.1,73.4,69.2,86.2,51.5,64.8,63.4,72.2,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064EXF,NODX,64,N16,FutOnly
PJM.WESTERN HUB_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064FHK,NODX,1,64,232931,129131,103064,42611,7899,5798,0,49230,400,220,11829,256,178416,178476,54515,54455,232931,129131,103064,42611,7899,5798,0,49230,400,220,11829,256,178416,178476,54515,54455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350,1805,2820,1480,-40,-200,0,520,-15,0,5,0,3070,3090,-720,-740,100,55.4,44.2,18.3,3.4,2.5,0,21.1,0.2,0.1,5.1,0.1,76.6,76.6,23.4,23.4,100,55.4,44.2,18.3,3.4,2.5,0,21.1,0.2,0.1,5.1,0.1,76.6,76.6,23.4,23.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,26,.,.,5,0,4,.,.,.,.,30,39,43,21,26,.,.,5,0,4,.,.,.,.,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6,36,64.3,52.2,35.6,30.6,49.5,43.5,46.6,36,64.3,52.2,35.6,30.6,49.5,43.5,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FHK,NODX,64,N16,FutOnly
PJM.WESTERN HUB_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064FHL,NODX,1,64,212200,124400,96927,29069,2722,7508,0,44455,480,220,9645,1043,162720,162780,49480,49420,212200,124400,96927,29069,2722,7508,0,44455,480,220,9645,1043,162720,162780,49480,49420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,1350,2365,1330,-40,-176,0,370,-90,0,5,-5,2409,2429,-1115,-1135,100,58.6,45.7,13.7,1.3,3.5,0,20.9,0.2,0.1,4.5,0.5,76.7,76.7,23.3,23.3,100,58.6,45.7,13.7,1.3,3.5,0,20.9,0.2,0.1,4.5,0.5,76.7,76.7,23.3,23.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,25,4,.,5,0,4,.,.,.,.,31,38,43,21,25,4,.,5,0,4,.,.,.,.,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,37.3,63.2,54.1,35.9,31.4,49.6,45.3,46.7,37.3,63.2,54.1,35.9,31.4,49.6,45.3,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FHL,NODX,64,N16,FutOnly
PJM.AEP-DAYTON HUB_month_on_rtp - NODAL EXCHANGE,210803,2021-08-03,064FKA,NODX,1,64,51579,15978,29005,12923,3786,10523,4690,0,990,0,1045,10,45114,45359,6465,6220,51579,15978,29005,12923,3786,10523,4690,0,990,0,1045,10,45114,45359,6465,6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,790,-60,-250,600,-540,0,0,0,0,0,0,0,0,240,240,100,31,56.2,25.1,7.3,20.4,9.1,0,1.9,0,2,0,87.5,87.9,12.5,12.1,100,31,56.2,25.1,7.3,20.4,9.1,0,1.9,0,2,0,87.5,87.9,12.5,12.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,13,.,.,5,.,0,.,0,.,.,21,23,27,12,13,.,.,5,.,0,.,0,.,.,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,45.1,71.6,69.1,40.6,35.8,50.1,48.6,55.6,45.1,71.6,69.1,40.6,35.8,50.1,48.6,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FKA,NODX,64,N16,FutOnly
PJM.AEP-DAYTON HUB_month_off_rtp - NODAL EXCHANGE,210803,2021-08-03,064FKB,NODX,1,64,44125,11840,25670,11781,1626,7949,4230,0,1140,0,815,10,36950,37210,7175,6915,44125,11840,25670,11781,1626,7949,4230,0,1140,0,815,10,36950,37210,7175,6915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26.8,58.2,26.7,3.7,18,9.6,0,2.6,0,1.8,0,83.7,84.3,16.3,15.7,100,26.8,58.2,26.7,3.7,18,9.6,0,2.6,0,1.8,0,83.7,84.3,16.3,15.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,14,.,4,5,.,0,.,0,.,.,21,24,26,13,14,.,4,5,.,0,.,0,.,.,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,47.4,68.7,65.8,43.9,39.7,50.5,47.8,54.5,47.4,68.7,65.8,43.9,39.7,50.5,47.8,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FKB,NODX,64,N16,FutOnly
PJM.N ILLINOIS HUB_month_on_rtp - NODAL EXCHANGE,210803,2021-08-03,064FKC,NODX,1,64,48916,22185,27715,5675,1040,11165,3400,3805,486,990,0,0,43901,44211,5015,4705,48916,22185,27715,5675,1040,11165,3400,3805,486,990,0,0,43901,44211,5015,4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,345,595,250,0,-250,0,0,0,0,0,0,345,345,0,0,100,45.4,56.7,11.6,2.1,22.8,7,7.8,1,2,0,0,89.7,90.4,10.3,9.6,100,45.4,56.7,11.6,2.1,22.8,7,7.8,1,2,0,0,89.7,90.4,10.3,9.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,13,4,.,5,.,.,.,.,0,0,20,21,25,12,13,4,.,5,.,.,.,.,0,0,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,46.7,73.6,71.9,27.7,27.4,37.2,40.1,51,46.7,73.6,71.9,27.7,27.4,37.2,40.1,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FKC,NODX,64,N16,FutOnly
PJM.N ILLINOIS HUB_month_off_rtp - NODAL EXCHANGE,210803,2021-08-03,064FKD,NODX,1,64,49580,15554,28325,1100,1804,8860,16370,3915,36,990,0,0,42910,42940,6670,6640,49580,15554,28325,1100,1804,8860,16370,3915,36,990,0,0,42910,42940,6670,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,31.4,57.1,2.2,3.6,17.9,33,7.9,0.1,2,0,0,86.5,86.6,13.5,13.4,100,31.4,57.1,2.2,3.6,17.9,33,7.9,0.1,2,0,0,86.5,86.6,13.5,13.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,13,.,.,4,.,.,.,.,0,0,19,20,24,12,13,.,.,4,.,.,.,.,0,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,51.9,75.7,73,44.2,36.9,47.3,44.7,61,51.9,75.7,73,44.2,36.9,47.3,44.7,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FKD,NODX,64,N16,FutOnly
PJM.WESTERN HUB_month_on_rtp - NODAL EXCHANGE,210803,2021-08-03,064FKE,NODX,1,64,227143,123985,128626,7026,24556,23145,22535,0,2605,90,762,1528,180914,181222,46229,45921,227143,123985,128626,7026,24556,23145,22535,0,2605,90,762,1528,180914,181222,46229,45921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194,985,2107,235,-620,2565,0,0,0,-61,0,61,3785,4113,409,81,100,54.6,56.6,3.1,10.8,10.2,9.9,0,1.1,0,0.3,0.7,79.6,79.8,20.4,20.2,100,54.6,56.6,3.1,10.8,10.2,9.9,0,1.1,0,0.3,0.7,79.6,79.8,20.4,20.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,26,.,.,6,4,0,.,.,.,4,40,39,43,26,26,.,.,6,4,0,.,.,.,4,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7,40.7,52.9,63.5,26.6,33.7,35.4,41.7,33.7,40.7,52.9,63.5,26.6,33.7,35.4,41.7,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FKE,NODX,64,N16,FutOnly
PJM.WESTERN HUB_month_off_rtp - NODAL EXCHANGE,210803,2021-08-03,064FKF,NODX,1,64,185310,101417,108235,5704,8889,21268,9990,0,9270,1035,762,1080,149764,149504,35546,35806,185310,101417,108235,5704,8889,21268,9990,0,9270,1035,762,1080,149764,149504,35546,35806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,355,2520,235,-2355,1890,-525,0,300,75,-25,0,2330,2330,-240,-240,100,54.7,58.4,3.1,4.8,11.5,5.4,0,5,0.6,0.4,0.6,80.8,80.7,19.2,19.3,100,54.7,58.4,3.1,4.8,11.5,5.4,0,5,0.6,0.4,0.6,80.8,80.7,19.2,19.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,23,4,.,4,4,0,.,.,.,.,39,32,41,25,23,4,.,4,4,0,.,.,.,.,39,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,39.8,57.3,64.5,25.1,32.4,35.8,43.5,37.8,39.8,57.3,64.5,25.1,32.4,35.8,43.5,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064FKF,NODX,64,N16,FutOnly
ARGUS FAR EAST PROPANE - ICE FUTURES ENERGY DIV,210803,2021-08-03,66413,IFED,1,66,6592,4261,4227,496,208,337,0,0,0,408,404,297,5799,5473,793,1119,6592,4261,4227,496,208,337,0,0,0,408,404,297,5799,5473,793,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-835,-553,-552,-43,-147,-32,0,0,0,21,-108,-13,-620,-852,-215,17,100,64.6,64.1,7.5,3.2,5.1,0,0,0,6.2,6.1,4.5,88,83,12,17,100,64.6,64.1,7.5,3.2,5.1,0,0,0,6.2,6.1,4.5,88,83,12,17,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,25,.,.,4,0,0,0,.,.,.,36,33,39,27,25,.,.,4,0,0,0,.,.,.,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,28.9,43.9,50.8,23.7,24.4,39.7,35.7,26.1,28.9,43.9,50.8,23.7,24.4,39.7,35.7,0,0,0,0,0,0,0,0,1000  metric tonnes,66413,IFED,66,N13,FutOnly
"ETHANE, MT. BELV-ENTERPRISE - ICE FUTURES ENERGY DIV",210803,2021-08-03,66416,IFED,1,66,28669,20292,24943,1659,2606,883,308,0,0,5358,55,25,28525,28512,144,157,28669,20292,24943,1659,2606,883,308,0,0,5358,55,25,28525,28512,144,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2809,-2272,-1664,-222,-922,-30,-117,0,0,-5,-40,-120,-2766,-2776,-43,-33,100,70.8,87,5.8,9.1,3.1,1.1,0,0,18.7,0.2,0.1,99.5,99.5,0.5,0.5,100,70.8,87,5.8,9.1,3.1,1.1,0,0,18.7,0.2,0.1,99.5,99.5,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,24,29,.,4,4,.,0,0,.,.,.,36,34,43,24,29,.,4,4,.,0,0,.,.,.,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,52.8,63,67.1,33.6,43.3,48.7,53.9,39.5,52.8,63,67.1,33.6,43.3,48.7,53.9,0,0,0,0,0,0,0,0,42000 gallons(1000 barrels),66416,IFED,66,N13,FutOnly
NAT GASLNE OPIS MT B NONTET FP - ICE FUTURES ENERGY DIV,210803,2021-08-03,06641A,IFED,1,66,15436,14502,10155,0,3177,229,0,0,0,295,1130,120,15146,14811,290,625,15436,14502,10155,0,3177,229,0,0,0,295,1130,120,15146,14811,290,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1761,-839,-1518,0,-358,-25,0,0,0,-160,845,-925,-1949,-1981,188,220,100,93.9,65.8,0,20.6,1.5,0,0,0,1.9,7.3,0.8,98.1,96,1.9,4,100,93.9,65.8,0,20.6,1.5,0,0,0,1.9,7.3,0.8,98.1,96,1.9,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,22,0,6,.,0,0,0,.,.,.,23,30,36,17,22,0,6,.,0,0,0,.,.,.,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,34.3,88.7,55.7,61.3,30.5,67.8,47.7,78.7,34.3,88.7,55.7,61.3,30.5,67.8,47.7,0,0,0,0,0,0,0,0,42000 gallons(1000 barrels),06641A,IFED,66,N13,FutOnly
